StopName;Latitude;Longitude;MatchedAs;Score
GRABSKIEGO - ZKM-02;50.5405034;22.041815;Grabskiego ZKM 03;94
KUSOCIŃSKIEGO-02;50.5944154;22.03328465;Kusocińskiego 02;100
GRABSKIEGO - WTÓRSTEEL;50.5507663;22.0636301;Grabskiego Wtórsteel 02;93
KWIATKOWSKIEGO - URZĄD SKARBOWY;50.5611691;22.058498095357464;Kwiatkowskiego Urząd Skarbowy 02;95
OBOJNA - CENTRALNA-02;50.568099399999994;22.03942590000002;Ofiar Katynia cmentarz 02;64
KUSOCIŃSKIEGO-01;50.59404105;22.03390305;Kusocińskiego 01;100
ZBYDNIÓW - STACJA PALIW-01;50.56146975;22.06813277712569;Staszica stacja paliw 01;77
SIKORSKIEGO-01;50.587186149999994;22.039590099999998;Sikorskiego 01;100
GRABSKIEGO - M16-2;50.5432077;22.0486452;Grabskiego M16 II 06;83
CERKAMED-01;50.5513149;22.0479727;Cerkamed 03;91
WRZOSOWA - SKAMAT-01;50.5345708;22.0720412;Wrzosowa Skamat 01;100
WOLINA-02;50.5517897;22.044285;Odlewnia 02;70
JODŁOWA-02;50.595413449999995;22.028829461034462;Jodłowa 02;100
NOWA WIEŚ-02;50.5399794;22.0884157;Sosnowa 02;64
OBOJNA - CENTRALNA-01;50.58501555;22.04699580076239;Klasztorna cmentarz 01;63
NISKO - WOLNOŚCI-01;50.5543668;22.0692345;Solidarności 01;69
PRZEMYSŁOWA - BOCZNA-01;50.5786446;22.04425151786107;Przemysłowa Boczna 01;100
SOSNOWA - I-02;50.5369812;22.0852052;Sosnowa I 03;92
WRZOSOWA - SKAMAT-02;50.5345708;22.0720412;Wrzosowa Skamat 01;94
1-go SIERPNIA-SZKOŁA IM.T.KOŚCIUSZKI-01;50.57248215;22.051343565632735;1 Sierpnia szkoła im. T. Kościuszki 01;96
WRZOSOWA - PRZEDSZKOLE-01;50.5387404;22.0776278;Wrzosowa przedszkole 03;96
SIKORSKIEGO-02;50.587050649999995;22.03965611627417;Sikorskiego 02;100
SOSNOWA - I-01;50.5369812;22.0852052;Sosnowa I 03;92
NOWA WIEŚ - I-01;50.5369812;22.0852052;Sosnowa I 03;62
PALENIE-01;50.60015465;22.0377691;Wspólna 01;63
SOSNOWA-01;50.5399455;22.0885133;Sosnowa 01;100
SOSNOWA-02;50.5399794;22.0884157;Sosnowa 02;100
WOLINA-01;50.60015465;22.0377691;Wspólna 01;78
PALENIE-02;50.5517897;22.044285;Odlewnia 02;67
SANDOMIERSKA - PRZYSTANEK KOLEJOWY-01;50.6031457;22.025356642167132;Sandomierska przystanek kolejowy 09;97
SANDOMIERSKA - PRZYSTANEK KOLEJOWY-02;50.6031457;22.025356642167132;Sandomierska przystanek kolejowy 09;97
NISKO - WOLNOŚCI PRZYCHODNIA-02;50.56366345;22.055697753734933;Hutnicza przychodnia 02;65
PRZEMYSŁOWA - BOCZNA-02;50.5793988;22.041661900942756;Przemysłowa Boczna 02;100
BUKOWA-02;50.5402268;22.078808;Wańkowicza 02;64
NOWA WIEŚ - I-02;50.5369812;22.0852052;Sosnowa I 03;62
MIŁA-02;50.5501349;22.0505422;Mista 01;67
GRANICZNA - WIADUKT-02;50.5911837;22.0498036;Graniczna wiadukt 02;100
BUKOWA-01;50.5406385;22.0791171;Wańkowicza 01;64
SOLIDARNOŚCI-01;50.5543668;22.0692345;Solidarności 01;100
NISKO - TYSIĄCLECIA BLOKI;50.5893486;22.03780013203032;Tysiąclecia 02;65
GRANICZNA - KOŚCIÓŁ-01;50.5917275;22.0501798;Graniczna kościół 01;100
ODLEWNIA-02;50.5517897;22.044285;Odlewnia 02;100
MIŁA-01;50.5501349;22.0505422;Mista 01;80
WRZOSOWA -  PRZEDSZKOLE-02;50.5392224;22.07742;Wrzosowa przedszkole 02;100
JASNA POLANA-01;50.60015465;22.0377691;Wspólna 01;67
SPACEROWA-01;50.5573607;22.0755192;Spacerowa 01;100
ODLEWNIA-01;50.5517897;22.044285;Odlewnia 02;91
