StopName;Boarded;Alighted;TotalFlow
COP - ZMBPOK;203;34;237
KŁYŻÓW - BŁOŃSKA-01;227;9;236
COP - ZAKŁAD KUŻNIA MATRYCOWA;36;195;231
SANDOMIERSKA - PKP-02;18;208;226
KŁYŻÓW-02;6;217;223
GRABSKIEGO - ALUTEC-01;222;0;222
OLSZOWIEC - I-01;202;17;219
KŁYŻÓW - II-01;216;1;217
BRANDWICKA - PODSKARPOWA-02;12;204;216
JASTKOWICE - BRANDWICKA-02;4;207;211
PRZYSZOWSKA-01;207;3;210
OLSZOWIEC - IV-01;209;0;209
DZIAŁKOWA DOM DZIAŁKOWCA-01;188;20;208
GRABSKIEGO - TRYUMF;205;2;207
MIRECKIEGO-01;197;8;205
COP - POSTERUNEK CELNY-02;23;181;204
SOLIDARNOŚCI-02;3;200;203
BRANDWICKA - Os.POSANIE-01;197;2;199
WSPÓLNA - PKP;23;172;195
BRANDWICKA - KARNATY-01;185;5;190
PRZYSZOWSKA-02;0;188;188
SANDOMIERSKA - ZIOŁOWA-01;184;4;188
ZBYDNIÓW - CENTRUM-01;183;0;183
KŁYŻÓW - BŁOŃSKA-02;0;177;177
COP - WODOCIĄGI-02;13;158;171
BRANDWICKA - RÓŻANA;159;10;169
ZBYDNIÓW - CENTRUM-02;12;157;169
OLSZOWIEC - IV-02;5;163;168
JASTKOWICE - BRANDWICKA-01;160;3;163
OLSZOWIEC - III-01;161;1;162
1-go SIERPNIA-SZKOŁA IM.T.KOŚCIUSZKI-02;13;149;162
BRANDWICA - KOCHANOWSKIEGO-01;144;15;159
ŚWIERKOWA - BRZOZOWA-01;144;15;159
COP - POSTERUNEK CELNY-01;143;14;157
ZALESZANY-01;154;1;155
RACŁAWICE - KOŚCIÓŁ-01;155;0;155
OLSZOWIEC - II-02;10;144;154
KŁYŻÓW - II-02;9;144;153
OLSZOWIEC - V-01;138;13;151
PONIATOWSKIEGO - SZKOŁA-01;37;110;147
MISTA-02;1;140;141
DZIAŁKOWA DOM DZIAŁKOWCA-02;5;136;141
ZALESZANY - KOŚCIÓŁ-01;139;0;139
SOCHY - DZIAŁKI-02;4;134;138
TARGOWA-02;57;80;137
PYSZNICA - NOWA-02;4;133;137
KWIATKOWSKIEGO - AMBULATORIUM;64;72;136
TURBIA - LOTNISKO-01;125;6;131
OLSZOWIEC - V-02;9;116;125
GRABSKIEGO - ZKM-01;124;0;124
SANDOMIERSKA - ZIOŁOWA-02;1;121;122
OLSZOWIEC - III-02;7;114;121
SOCHY - DZIAŁKI-01;121;0;121
ZBYDNIÓW - POCZTA-01;117;3;120
ZBYDNIÓW - POCZTA-02;4;113;117
PYSZNICA - NOWA-01;103;6;109
DZIAŁKOWA OCZKO-02;34;70;104
NIEZŁOMNYCH - SKRZYŻOWANIE;35;67;102
GRABSKIEGO - IKEA;52;47;99
TURBIA - LOTNISKO-02;7;88;95
ŚWIERKOWA - BRZOZOWA-02;4;83;87
AGATÓWKA - LIPOWA-01;84;0;84
RĘDZINY-02;6;77;83
TARGOWA-01;46;34;80
ŚWIERKOWA - MODRZEWIOWA-01;74;5;79
DZIAŁKOWA OCZKO-01;54;24;78
MISTA-01;76;0;76
JODŁOWA-01;75;0;75
RACŁAWICE - KOŚCIÓŁ-02;0;72;72
ŚWIERKOWA - MODRZEWIOWA-02;0;70;70
ZBYDNIÓW - STACJA PALIW-02;0;68;68
SPACEROWA-02;1;66;67
COP - WODOCIĄGI-01;28;38;66
NOWA WIEŚ-01;66;0;66
CERKAMED-02;0;65;65
GRABSKIEGO - ZKM-02;4;59;63
KUSOCIŃSKIEGO-02;0;60;60
GRABSKIEGO - WTÓRSTEEL;7;53;60
KWIATKOWSKIEGO - URZĄD SKARBOWY;20;39;59
OBOJNA - CENTRALNA-02;0;56;56
KUSOCIŃSKIEGO-01;53;3;56
ZBYDNIÓW - STACJA PALIW-01;55;0;55
SIKORSKIEGO-01;53;1;54
AGATÓWKA - LIPOWA-02;3;49;52
GRABSKIEGO - M16-2;16;35;51
