StopName;Boarded;Alighted;TotalFlow;Latitude;Longitude
ZBYDNIÓW - POCZTA-02;4;113;117;50.6380016;21.928443
PYSZNICA - NOWA-01;103;6;109;50.57201510000001;22.13162095
DZIAŁKOWA OCZKO-02;34;70;104;50.5723419;22.0762749
NIEZŁOMNYCH - SKRZYŻOWANIE;35;67;102;50.57050053230096;22.047857995542948
GRABSKIEGO - IKEA;52;47;99;50.5432226;22.0496531
TURBIA - LOTNISKO-02;7;88;95;50.617919449999995;21.9946638
ŚWIERKOWA - BRZOZOWA-02;4;83;87;50.60246930000001;22.0153134
AGATÓWKA - LIPOWA-01;84;0;84;50.6091186;22.0047294
RĘDZINY-02;6;77;83;50.4294031;22.3098584
TARGOWA-01;46;34;80;50.56975457617232;22.057668326930745
ŚWIERKOWA - MODRZEWIOWA-01;74;5;79;50.60085704465032;22.023758596653373
DZIAŁKOWA OCZKO-01;54;24;78;50.5723419;22.0762749
MISTA-01;76;0;76;50.5492486;22.055503
JODŁOWA-01;75;0;75;50.59538105;22.029046649999998
RACŁAWICE - KOŚCIÓŁ-02;0;72;72;50.5136188;22.1653609
ŚWIERKOWA - MODRZEWIOWA-02;0;70;70;50.60085704465032;22.023758596653373
ZBYDNIÓW - STACJA PALIW-02;0;68;68;50.628801261645386;21.96073700206963
SPACEROWA-02;1;66;67;50.5573607;22.0755192
COP - WODOCIĄGI-01;28;38;66;50.5491251;22.0406382
NOWA WIEŚ-01;66;0;66;50.5004037;22.2064926
CERKAMED-02;0;65;65;50.5513149;22.0479727
GRABSKIEGO - ZKM-02;4;59;63;50.5405034;22.041815
KUSOCIŃSKIEGO-02;0;60;60;50.5944154;22.033284650000002
GRABSKIEGO - WTÓRSTEEL;7;53;60;50.5507663;22.0636301
KWIATKOWSKIEGO - URZĄD SKARBOWY;20;39;59;50.561207682917825;22.058568686513187
OBOJNA - CENTRALNA-02;0;56;56;50.6035158;22.0045271
KUSOCIŃSKIEGO-01;53;3;56;50.5944154;22.033284650000002
ZBYDNIÓW - STACJA PALIW-01;55;0;55;50.628801261645386;21.96073700206963
SIKORSKIEGO-01;53;1;54;50.587050722082125;22.039656142284436
AGATÓWKA - LIPOWA-02;3;49;52;50.6091186;22.0047294
GRABSKIEGO - M16-2;16;35;51;50.5432077;22.0486452
CERKAMED-01;44;7;51;50.5513149;22.0479727
WRZOSOWA - SKAMAT-01;48;1;49;50.5345708;22.0720412
WOLINA-02;1;46;47;50.5002186;22.1823296
JODŁOWA-02;3;43;46;50.59538105;22.029046649999998
NOWA WIEŚ-02;0;46;46;50.5004037;22.2064926
OBOJNA - CENTRALNA-01;44;1;45;50.6035158;22.0045271
NISKO - WOLNOŚCI-01;25;18;43;50.4987171;22.1378087
NOWA WIEŚ - PKS-01;37;2;39;50.5018167;22.1939318
PRZEMYSŁOWA - BOCZNA-01;8;29;37;50.57939876145822;22.041661980914196
SOSNOWA - I-02;22;12;34;50.5369812;22.0852052
ZBYDNIÓW - KARCZMISKA-01;33;1;34;50.6389413;21.9146319
WRZOSOWA - SKAMAT-02;0;33;33;50.5345708;22.0720412
1-go SIERPNIA-SZKOŁA IM.T.KOŚCIUSZKI-01;0;32;32;50.572478755808966;22.05133375123513
WRZOSOWA - PRZEDSZKOLE-01;32;0;32;50.5387404;22.0776278
NOWA WIEŚ - PKS-02;1;30;31;50.5018167;22.1939318
SIKORSKIEGO-02;1;29;30;50.587050722082125;22.039656142284436
SOSNOWA - I-01;21;9;30;50.5369812;22.0852052
ZBYDNIÓW - KARCZMISKA-02;2;27;29;50.6389413;21.9146319
NOWA WIEŚ - I-01;26;0;26;50.5018167;22.1939318
PALENIE-01;0;24;24;50.5939567647809;22.114102566012917
SOSNOWA-01;19;4;23;50.5412318;22.0912924
SOSNOWA-02;7;16;23;50.5412318;22.0912924
PILCHÓW - II-02;0;22;22;50.6135789;22.0176669
RĘDZINY-01;18;0;18;50.4294031;22.3098584
WOLINA-01;14;0;14;50.5002186;22.1823296
PALENIE-02;13;0;13;50.5939567647809;22.114102566012917
PILCHÓW - I-01;12;0;12;50.6122443;22.012641
SANDOMIERSKA - PRZYSTANEK KOLEJOWY-01;12;0;12;50.603145884788134;22.025356848755322
SANDOMIERSKA - PRZYSTANEK KOLEJOWY-02;0;10;10;50.603145884788134;22.025356848755322
PILCHÓW - II-01;8;1;9;50.6135789;22.0176669
JASNA POLANA-02;9;0;9;50.58148495;22.120051
NISKO - WOLNOŚCI PRZYCHODNIA-02;0;9;9;50.4987171;22.1378087
PRZEMYSŁOWA - BOCZNA-02;0;7;7;50.57939876145822;22.041661980914196
BUKOWA-02;7;0;7;50.597756748094774;22.10858032184365
NOWA WIEŚ - I-02;0;7;7;50.5018167;22.1939318
MIŁA-02;7;0;7;50.586653792248896;22.117550064513022
GRANICZNA - WIADUKT-02;2;4;6;50.5911837;22.0498036
BUKOWA-01;0;6;6;50.597756748094774;22.10858032184365
SOLIDARNOŚCI-01;6;0;6;50.5543668;22.0692345
NISKO - TYSIĄCLECIA BLOKI;3;2;5;50.4987171;22.1378087
GRANICZNA - KOŚCIÓŁ-01;3;1;4;50.5917275;22.0501798
ODLEWNIA-02;0;3;3;50.5517897;22.044285
MIŁA-01;0;3;3;50.586653792248896;22.117550064513022
WRZOSOWA -  PRZEDSZKOLE-02;0;3;3;50.5387404;22.0776278
JASNA POLANA-01;0;2;2;50.58148495;22.120051
SPACEROWA-01;1;0;1;50.5573607;22.0755192
PILCHÓW - I-02;0;1;1;50.6122443;22.012641
ODLEWNIA-01;0;0;0;50.5517897;22.044285
